name,party,state,district,legislature,profile_link
161 Robles Gómez Manuel Alejandro,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=449
162 Robles Ortíz Martha,MORENA,México,Dtto. 29,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=154
163 Rodríguez González Manuel,MORENA,Tabasco,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=257
164 Rodríguez Guzmán José Fredy,MORENA,Puebla,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=714
165 Rodríguez Torres Ángel Miguel,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=500
166 Rojas Martínez Beatriz,MORENA,Ciudad de México,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=44
167 Salazar López Noemi ,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=487
168 Sánchez Cruz Janeth Yareli,MORENA,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=837
169 Sánchez Ortiz Graciela,MORENA,México,Dtto. 21,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=146
170 Sánchez Rodríguez Juan Pablo,MORENA,México,Dtto. 20,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=145
171 Sandoval Ballesteros Pablo Amílcar,MORENA,Guerrero,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=93
172 Santiago Chepi Azael,MORENA,Oaxaca,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=202
173 Santiago Manuel Iran,MORENA,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=411
174 Sibaja Mendoza Jorge Ángel,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=421
175 Sierra Damián María,MORENA,Campeche,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=15
176 Sierra Jiménez Luis Alberto Salvador,MORENA,Guerrero,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=596
177 Silva Hernández Dulce Maria,MORENA,Tlaxcala,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=448
178 Tánori Córdova Judith Celina,MORENA,Sonora,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=751
179 Tenorio Adame Paola,MORENA,Veracruz,Dtto. 19,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=290
180 Torres Escudero Mario Alberto,MORENA,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=413
181 Torres Hernández Alfredo,MORENA,Chiapas,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=518
182 Torres Navarro Juan Guadalupe,MORENA,Sinaloa,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=336
183 Torres Torres Ricardo,MORENA,México,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=633
184 Trinidad Balboa José Juan,MORENA,Chiapas,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=522
185 Tun Campos Elba Iliana del Rocío,MORENA,Quintana Roo,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=730
